,Age,Gender_ذكر,Home Region,Program Main Category Code,Technology Type,Program Skill Level,Program Presentation Method,Program Days,Completed Degree,Level of Education,Education Speaciality,College_تكنولوجيا الاتصالات والمعلومات,Employment Status,Job Type,Y,Degree_Score_Pct
27,29.0,1,منطقة الرياض,PCRF,داعمة,مبتدئ,حضوري,12,نعم,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,0,60.0
28,29.0,1,منطقة الرياض,GRST,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,شبكات الحاسب الآلي,1,موظف,دوام كامل,0,65.6
29,25.0,0,منطقة الرياض,PCRF,مفقود,متقدم,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,عمل حر,مفقود,0,69.80000000000001
30,24.0,0,منطقة الرياض,APMR,مفقود,متوسط,حضوري,59,لا,البكالوريوس,تقنية المعلومات,1,غير موظف,تدريب,0,80.0
31,24.0,0,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,12,نعم,البكالوريوس,لغويات تطبيقية,1,خريج,مفقود,0,94.0
32,26.0,0,منطقة المدينة المنورة,CAUF,مفقود,مفقود,حضوري,40,نعم,البكالوريوس,علوم حاسب,1,غير موظف,تدريب,0,60.0
33,30.0,0,منطقة الرياض,CAUF,تقليدية,مبتدئ,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,80.0
34,28.0,1,منطقة الرياض,PCRF,ناشئة,مبتدئ,عن بعد,5,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,53.0
35,24.0,1,منطقة الرياض,INFA,تقليدية,متوسط,حضوري,12,نعم,الدكتوراه,علوم حاسب,1,موظف,دوام كامل,0,100.0
36,20.0,0,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,4,لا,البكالوريوس,تصميم منتجات,1,طالب,مفقود,1,89.0
37,27.0,1,منطقة الرياض,PCRF,داعمة,مبتدئ,حضوري,12,نعم,الماجستير,علوم حاسب,1,موظف,دوام كامل,0,80.0
38,25.0,1,المنطقة الشرقية,CAUF,تقليدية,متوسط,حضوري,54,نعم,البكالوريوس,علوم حاسب,1,غير موظف,مفقود,0,67.19999999999999
39,23.0,0,منطقة المدينة المنورة,PCRF,مفقود,مفقود,عن بعد,5,لا,الدكتوراه,تاريخ اسلامي,1,خريج,مفقود,1,96.8
40,20.0,0,المنطقة الشرقية,PCRF,تقليدية,مبتدئ,عن بعد,5,لا,ثانوي,علوم حاسب,1,طالب,مفقود,1,100.0
41,23.0,0,منطقة الرياض,CAUF,مفقود,مبتدئ,عن بعد,5,نعم,البكالوريوس,علوم حاسب,1,غير موظف,تدريب,0,90.99999999999999
42,28.0,1,منطقة الرياض,GRST,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,هندسة شبكات,1,موظف,مفقود,0,78.0
43,42.0,0,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,5,نعم,البكالوريوس,تطبيقات الحاسب الالي,1,موظف,مفقود,0,84.39999999999999
44,31.0,1,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,12,نعم,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,0,50.0
45,23.0,1,منطقة القصيم,PCRF,ناشئة,مبتدئ,حضوري,5,نعم,البكالوريوس,هندسة كهربائية,1,خريج,مفقود,0,82.4
46,27.0,1,منطقة الرياض,PCRF,تقليدية,متوسط,حضوري,12,نعم,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,0,88.0
47,20.0,0,منطقة الرياض,CAUF,مفقود,مبتدئ,حضوري,5,نعم,البكالوريوس,هندسة برمجيات,1,طالب,مفقود,0,100.0
48,31.0,0,منطقة مكة المكرمة,PCRF,تقليدية,مبتدئ,عن بعد,5,لا,البكالوريوس,تاريخ,1,عمل حر,مفقود,1,72.0
49,39.0,0,منطقة الرياض,PCRF,تقليدية,متقدم,حضوري,5,نعم,الدبلوم,علوم حاسب,1,غير موظف,دوام كامل,0,98.4
50,35.0,0,منطقة تبوك,PCRF,تقليدية,مبتدئ,عن بعد,5,لا,البكالوريوس,علوم حاسب,1,غير موظف,مفقود,1,82.2
51,38.0,1,منطقة الرياض,PCRF,تقليدية,متقدم,حضوري,5,نعم,البكالوريوس,شبكات الحاسب,1,موظف,مفقود,0,93.0
52,29.0,0,منطقة مكة المكرمة,PCRF,تقليدية,متوسط,عن بعد,173,نعم,البكالوريوس,علوم حاسب,1,طالب,تدريب,1,100.0
53,22.0,0,منطقة الرياض,CAUF,مفقود,مبتدئ,حضوري,5,نعم,ثانوي,علوم حاسب,1,طالب,مفقود,0,96.0
54,33.0,1,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,12,نعم,البكالوريوس,شبكات الحاسب الآلي,1,غير موظف,دوام كامل,0,60.0
55,32.0,0,منطقة الرياض,PCRF,مفقود,متوسط,عن بعد,12,نعم,الماجستير,هندسة البرمجيات,1,موظف,مفقود,0,90.0
56,24.0,0,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,12,نعم,البكالوريوس,نظم المعلومات,1,غير موظف,دوام كامل,0,80.0
57,28.0,1,منطقة الرياض,TOSL,مفقود,مفقود,حضوري,33,نعم,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,60.0
58,24.0,1,منطقة الرياض,TOSL,مفقود,مفقود,حضوري,33,لا,البكالوريوس,نظم معلومات,1,خريج,مفقود,1,84.80000000000001
59,20.0,0,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,4,نعم,البكالوريوس,Product Design,1,طالب,مفقود,0,88.4
60,24.0,1,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,26,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,68.39999999999999
61,23.0,0,المنطقة الشرقية,CAUF,تقليدية,متوسط,حضوري,54,نعم,البكالوريوس,نظم معلومات,1,خريج,مفقود,0,82.0
62,23.0,1,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,54,نعم,البكالوريوس,علوم حاسب,1,غير موظف,مفقود,0,80.39999999999999
63,27.0,1,منطقة الرياض,APMR,ناشئة,متوسط,حضوري,26,نعم,البكالوريوس,Engineer In Marine Technology,1,موظف,مفقود,0,82.5
64,24.0,0,المنطقة الشرقية,CAUF,مفقود,مفقود,عن بعد,26,نعم,البكالوريوس,علوم حاسب,1,غير موظف,تطوع,0,75.0
65,26.0,0,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,58.20000000000001
66,35.0,1,منطقة الرياض,PCRF,ناشئة,مبتدئ,عن بعد,5,نعم,البكالوريوس,الهندسة الكهربائية,0,موظف,دوام كامل,0,75.0
67,23.0,0,منطقة الرياض,CAUF,تقليدية,متوسط,عن بعد,5,نعم,البكالوريوس,نظم المعلومات الإدارية,0,موظف,تدريب,1,80.0
68,24.0,1,المنطقة الشرقية,CAUF,تقليدية,مبتدئ,عن بعد,5,نعم,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,0,75.0
69,27.0,0,منطقة الحدود الشمالية,CAUF,مفقود,مفقود,عن بعد,19,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,95.8
70,29.0,1,منطقة الرياض,PCRF,مفقود,مبتدئ,حضوري,12,لا,البكالوريوس,هندسة الكترونيات,1,موظف,مفقود,1,76.4
71,25.0,1,منطقة عسير,CAUF,مفقود,مفقود,عن بعد,54,لا,البكالوريوس,نظم معلومات,1,موظف,مفقود,1,72.0
72,20.0,1,منطقة مكة المكرمة,CAUF,تقليدية,متوسط,عن بعد,5,نعم,ثانوي,علوم حاسب,1,طالب,دوام كامل,0,0.0
73,22.0,0,منطقة الرياض,CAUF,تقليدية,متقدم,حضوري,5,لا,البكالوريوس,نظم المعلومات الحاسوبية,1,موظف,مفقود,1,80.0
74,28.0,1,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,5,لا,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,84.00000000000001
75,25.0,0,منطقة الرياض,CAUF,تقليدية,مبتدئ,عن بعد,3,نعم,البكالوريوس,الفيزياء,0,غير موظف,تدريب,0,80.0
76,24.0,0,منطقة الرياض,TOSL,مفقود,مفقود,حضوري,33,نعم,البكالوريوس,علوم حاسب,1,غير موظف,تدريب,0,80.0
77,26.0,0,منطقة الرياض,CAUF,مفقود,مفقود,عن بعد,19,نعم,البكالوريوس,نظم معلومات,1,خريج,مفقود,0,92.0
78,30.0,0,منطقة الرياض,APMR,داعمة,مبتدئ,حضوري,5,لا,البكالوريوس,نظم معلومات,1,موظف,مفقود,1,95.0
79,37.0,1,منطقة الرياض,ABIR,مفقود,متقدم,حضوري,12,نعم,البكالوريوس,تقنية المعلومات,1,موظف,مفقود,0,50.0
80,23.0,1,منطقة مكة المكرمة,INFA,تقليدية,مبتدئ,عن بعد,5,نعم,البكالوريوس,تقنية المعلومات,1,غير موظف,تدريب,0,86.6
81,35.0,1,منطقة الرياض,PCRF,تقليدية,مبتدئ,حضوري,12,نعم,البكالوريوس,العلوم الإدارية,0,موظف - طالب,دوام كامل,1,90.0
82,22.0,0,منطقة الرياض,APMR,مفقود,متوسط,حضوري,12,نعم,البكالوريوس,هندسة برمجيات,1,خريج,مفقود,0,90.0
83,37.0,0,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,5,لا,البكالوريوس,شبكات الحاسب الآلي,1,غير موظف,دوام كامل,1,58.5
84,24.0,0,منطقة القصيم,APMR,مفقود,متوسط,حضوري,5,نعم,البكالوريوس,نظم المعلومات الادارية,1,غير موظف,مفقود,0,70.0
85,25.0,1,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,54,نعم,البكالوريوس,هندسة برمجيات,1,خريج,مفقود,0,95.19999999999999
86,28.0,0,منطقة جازان,ABIR,تقليدية,مبتدئ,عن بعد,5,نعم,البكالوريوس,نظم المعلومات,1,موظف,تدريب,0,60.0
87,35.0,1,منطقة الرياض,APMR,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,نظم المعلومات,1,موظف,دوام كامل,0,76.0
88,28.0,0,منطقة الرياض,PCRF,تقليدية,متوسط,حضوري,5,لا,البكالوريوس,تقنية معلومات,1,خريج,مفقود,1,50.0
89,21.0,0,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,5,نعم,ثانوي,علوم حاسب,1,طالب,مفقود,0,98.7
90,34.0,0,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,26,نعم,البكالوريوس,نظم المعلومات,1,موظف,دوام كامل,0,84.80000000000001
91,23.0,1,منطقة الرياض,PCRF,داعمة,مبتدئ,حضوري,12,نعم,البكالوريوس,نظم معلومات,1,خريج,مفقود,0,94.60000000000001
92,23.0,0,المنطقة الشرقية,CAUF,تقليدية,متوسط,عن بعد,5,لا,البكالوريوس,نظم المعلومات الإدارية,0,غير موظف,تدريب,1,81.8
93,24.0,1,منطقة الرياض,PCRF,تقليدية,مبتدئ,حضوري,12,نعم,البكالوريوس,تقنية المعلومات,1,غير موظف,تدريب,0,75.4
94,25.0,0,منطقة الرياض,APMR,مفقود,مفقود,حضوري,26,لا,البكالوريوس,إدارة أعمال,1,موظف,مفقود,0,77.8
95,21.0,0,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,5,لا,البكالوريوس,جرافيك ووسائط رقمية,1,طالب,مفقود,1,98.0
96,29.0,0,منطقة الرياض,APMR,تقليدية,متوسط,عن بعد,5,لا,البكالوريوس,علوم حاسب,1,غير موظف,مفقود,0,49.400000000000006
97,28.0,0,منطقة الرياض,APMR,تقليدية,متوسط,حضوري,12,نعم,البكالوريوس,الفيزياء,0,موظف,دوام كامل,0,60.0
98,28.0,0,المنطقة الشرقية,APMR,مفقود,مفقود,حضوري,5,لا,البكالوريوس,علوم حاسب,1,موظف,مفقود,1,88.00000000000001
99,22.0,1,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,5,نعم,ثانوي,هندسة صناعية,1,طالب,مفقود,1,98.0
100,31.0,0,منطقة الرياض,CAUF,مفقود,مبتدئ,حضوري,5,نعم,البكالوريوس,نظم معلومات,1,موظف,مفقود,0,64.2
101,22.0,0,منطقة عسير,CAUF,تقليدية,متوسط,عن بعد,5,لا,البكالوريوس,نظم المعلومات,1,غير موظف,تدريب,1,80.0
102,35.0,1,منطقة الرياض,PCRF,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,نظم المعلومات,1,موظف,دوام كامل,0,60.0
103,23.0,0,منطقة مكة المكرمة,CAUF,مفقود,مفقود,عن بعد,26,نعم,البكالوريوس,شبكات الحاسب الآلي,1,غير موظف,تدريب,0,80.0
104,23.0,0,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,5,نعم,البكالوريوس,الجرافيكس والوسائط المتعددة,0,غير موظف,تدريب,0,89.8
105,23.0,1,منطقة الرياض,PCRF,داعمة,مبتدئ,حضوري,12,نعم,البكالوريوس,أمن سيبراني,1,خريج,مفقود,0,86.19999999999999
106,31.0,1,منطقة مكة المكرمة,ABIR,ناشئة,مبتدئ,حضوري,12,لا,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,47.5
107,25.0,1,منطقة الرياض,PCRF,تقليدية,متقدم,حضوري,5,نعم,البكالوريوس,نظم المعلومات,1,موظف,مفقود,0,92.5
108,29.0,0,منطقة الرياض,PCRF,داعمة,مبتدئ,حضوري,12,نعم,البكالوريوس,أمن سيبراني,1,غير موظف,مفقود,0,100.0
109,24.0,1,منطقة الرياض,TOSL,مفقود,متوسط,حضوري,40,نعم,البكالوريوس,نظم المعلومات الحاسوبية,1,موظف,مفقود,0,90.8
110,27.0,1,منطقة الرياض,PCRF,مفقود,متقدم,حضوري,19,نعم,البكالوريوس,هندسة الشبكات والاتصالات,1,موظف,مفقود,0,54.400000000000006
111,41.0,1,منطقة الرياض,PCRF,تقليدية,متوسط,حضوري,12,نعم,البكالوريوس,نظم معلومات,1,موظف,مفقود,0,65.99999999999999
112,29.0,1,منطقة الرياض,APMR,مفقود,مفقود,حضوري,5,لا,البكالوريوس,علوم حاسب,1,موظف,مفقود,1,65.4
113,25.0,0,منطقة المدينة المنورة,PCRF,مفقود,مفقود,حضوري,19,نعم,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,84.39999999999999
114,27.0,1,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,12,نعم,البكالوريوس,أمن سيبراني,1,عمل حر,مفقود,1,95.0
115,32.0,1,منطقة الرياض,TOSL,مفقود,مبتدئ,حضوري,12,نعم,البكالوريوس,الحاسب والمعلومات,1,موظف,مفقود,0,56.8
116,30.0,1,منطقة الرياض,ABIR,ناشئة,مبتدئ,حضوري,12,نعم,البكالوريوس,تقنية معلومات,1,موظف,مفقود,0,70.0
117,34.0,1,منطقة الرياض,CAUF,تقليدية,متقدم,حضوري,5,نعم,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,0,88.25
118,34.0,0,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,12,نعم,الماجستير,علوم حاسب,1,موظف,مفقود,0,92.5
119,28.0,0,منطقة المدينة المنورة,CAUF,مفقود,مفقود,عن بعد,26,نعم,البكالوريوس,علوم حاسب,1,غير موظف,مفقود,0,93.2
120,36.0,1,منطقة مكة المكرمة,CAUF,تقليدية,متوسط,عن بعد,54,لا,ثانوي,علوم حاسب,1,موظف,مفقود,0,69.0
121,41.0,1,منطقة عسير,APMR,تقليدية,متقدم,عن بعد,12,نعم,البكالوريوس,إدارة أعمال,1,موظف,مفقود,0,86.19999999999999
122,23.0,1,منطقة الرياض,CAUF,تقليدية,متقدم,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,90.99999999999999
123,32.0,0,منطقة عسير,APMR,تقليدية,متوسط,عن بعد,12,لا,الماجستير,Information Security,1,موظف,مفقود,1,95.60000000000001
124,26.0,0,منطقة الرياض,PCRF,داعمة,مبتدئ,حضوري,5,لا,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,1,60.0
125,26.0,0,منطقة الرياض,APMR,ناشئة,متوسط,حضوري,26,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,65.99999999999999
126,25.0,1,المنطقة الشرقية,APMR,ناشئة,متوسط,عن بعد,12,نعم,البكالوريوس,نظم المعلومات,1,غير موظف,دوام كامل,0,60.0
127,32.0,0,المنطقة الشرقية,CAUF,تقليدية,متوسط,حضوري,54,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,46.2
128,22.0,0,منطقة الرياض,TOSL,مفقود,متوسط,حضوري,40,نعم,البكالوريوس,تقنية معلومات,1,خريج,مفقود,1,95.60000000000001
129,39.0,1,منطقة الرياض,PCRF,مفقود,مبتدئ,حضوري,12,نعم,البكالوريوس,حاسب الى تربوي,1,موظف,مفقود,0,71.8
130,26.0,1,منطقة الرياض,APMR,تقليدية,مبتدئ,حضوري,5,لا,ثانوي,علوم حاسب,1,طالب,مفقود,0,99.0
131,26.0,0,منطقة الرياض,TOSL,تقليدية,مبتدئ,حضوري,12,لا,الماجستير,هندسة البرمجيات,1,موظف,مفقود,0,92.0
132,22.0,0,منطقة الرياض,APMR,تقليدية,متوسط,عن بعد,12,نعم,البكالوريوس,هندسة البرمجيات,1,خريج,مفقود,0,92.8
133,23.0,0,منطقة الباحة,APMR,تقليدية,متوسط,عن بعد,5,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,100.0
134,33.0,1,منطقة مكة المكرمة,TOSL,تقليدية,متقدم,حضوري,33,نعم,الماجستير,علوم حاسب,1,موظف,دوام كامل,0,80.0
135,21.0,0,منطقة الرياض,APMR,مفقود,مفقود,حضوري,5,لا,البكالوريوس,تقنية معلومات,1,طالب,مفقود,1,98.6
136,21.0,1,منطقة الرياض,ABIR,تقليدية,مبتدئ,حضوري,5,نعم,ثانوي,علوم حاسب,1,طالب,مفقود,0,90.88
137,23.0,1,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,54,نعم,البكالوريوس,هندسة البرمجيات,1,خريج,مفقود,0,95.8
138,22.0,0,منطقة الرياض,CAUF,تقليدية,مبتدئ,حضوري,5,نعم,البكالوريوس,Human Resources,1,طالب,مفقود,0,90.19999999999999
139,37.0,1,منطقة الرياض,GRST,مفقود,متوسط,حضوري,5,نعم,الدبلوم,برمجة الحاسب الألي,1,موظف,مفقود,0,59.199999999999996
140,25.0,0,منطقة الرياض,CAUF,تقليدية,مبتدئ,حضوري,5,نعم,البكالوريوس,فيزياء,1,خريج,مفقود,0,62.6
141,25.0,0,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,5,لا,البكالوريوس,نظم المعلومات الادارية,1,خريج,مفقود,1,99.8
142,46.0,1,منطقة الرياض,CAUF,تقليدية,متقدم,حضوري,12,لا,البكالوريوس,نظم المعلومات,1,غير موظف,دوام كامل,0,80.0
143,21.0,0,منطقة المدينة المنورة,APMR,تقليدية,متقدم,عن بعد,12,لا,البكالوريوس,علوم حاسب,1,طالب,مفقود,1,80.0
144,19.0,1,منطقة الرياض,CAUF,تقليدية,مبتدئ,عن بعد,5,نعم,ثانوي,علوم حاسب,1,طالب,مفقود,0,98.0
145,25.0,1,منطقة الرياض,SERU,داعمة,مبتدئ,حضوري,5,نعم,البكالوريوس,هندسة برمجيات,1,طالب,مفقود,0,86.6
146,25.0,0,منطقة الرياض,PCRF,مفقود,متقدم,حضوري,19,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,80.0
147,20.0,1,منطقة الرياض,APMR,مفقود,متوسط,حضوري,12,نعم,البكالوريوس,هندسة البرمجيات,1,طالب,مفقود,0,98.2
148,41.0,1,منطقة الرياض,APMR,مفقود,متوسط,حضوري,19,نعم,الماجستير,هندسة برمجيات,1,موظف,مفقود,0,98.97500000000001
149,23.0,1,منطقة الرياض,CAUF,تقليدية,متوسط,عن بعد,54,نعم,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,95.39999999999999
150,28.0,1,منطقة مكة المكرمة,TOSL,مفقود,متوسط,حضوري,47,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,60.0
151,24.0,0,منطقة الرياض,CAUF,ناشئة,متقدم,حضوري,12,لا,البكالوريوس,نظم المعلومات,1,طالب,مفقود,1,100.0
152,23.0,0,منطقة مكة المكرمة,APMR,تقليدية,متوسط,عن بعد,12,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,96.5
153,23.0,1,منطقة الرياض,APMR,تقليدية,متوسط,حضوري,12,نعم,البكالوريوس,تقنية معلومات,1,موظف,مفقود,0,90.0
154,26.0,1,منطقة الرياض,PCRF,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,غير متخصص,1,موظف,تدريب,1,52.75
155,22.0,0,منطقة الرياض,CAUF,تقليدية,مبتدئ,حضوري,5,نعم,البكالوريوس,نظم المعلومات,1,موظف,مفقود,0,100.0
156,31.0,0,منطقة الرياض,APMR,مفقود,مفقود,حضوري,5,نعم,البكالوريوس,نظم معلومات,1,موظف,مفقود,0,92.4
157,23.0,0,منطقة الرياض,TOSL,تقليدية,متقدم,حضوري,44,نعم,البكالوريوس,تقنية معلومات,1,موظف,مفقود,0,93.39999999999999
158,23.0,0,منطقة جازان,CAUF,تقليدية,متقدم,عن بعد,26,نعم,البكالوريوس,علوم حاسب,1,غير موظف,تدريب,1,80.0
159,28.0,0,منطقة الرياض,TOSL,تقليدية,متوسط,حضوري,96,لا,البكالوريوس,إدارة الشبكات,1,موظف,دوام كامل,1,55.199999999999996
160,45.0,0,منطقة الرياض,APMR,مفقود,مبتدئ,حضوري,5,نعم,الدبلوم,حاسب,1,موظف,مفقود,0,85.0
161,26.0,1,منطقة الرياض,APMR,تقليدية,متوسط,حضوري,12,نعم,البكالوريوس,هندسة برمجيات,1,موظف,مفقود,0,25.0
162,31.0,0,منطقة الرياض,PCRF,تقليدية,مبتدئ,حضوري,12,نعم,الماجستير,نظم المعلومات,1,موظف,دوام كامل,0,100.0
163,28.0,1,منطقة الرياض,CAUF,مفقود,مبتدئ,حضوري,5,نعم,البكالوريوس,شبكات الحاسب الآلي,1,موظف,دوام كامل,0,43.60000000000001
164,21.0,0,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,5,نعم,البكالوريوس,تصميم منتجات,1,طالب,مفقود,0,93.39999999999999
165,20.0,0,منطقة الرياض,CAUF,تقليدية,مبتدئ,حضوري,12,نعم,البكالوريوس,علوم حاسب,1,طالب,مفقود,0,80.0
166,18.0,0,منطقة الرياض,CAUF,تقليدية,مبتدئ,حضوري,5,نعم,ثانوي,علوم حاسب,1,طالب,مفقود,0,99.81
167,24.0,0,منطقة حائل,APMR,مفقود,مفقود,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,غير موظف,دوام كامل,0,73.0
168,23.0,1,منطقة نجران,CAUF,تقليدية,متوسط,عن بعد,5,نعم,البكالوريوس,نظم المعلومات,1,موظف,مفقود,0,84.2
169,26.0,1,منطقة الرياض,CAUF,تقليدية,مبتدئ,حضوري,5,نعم,البكالوريوس,موارد بشرية,1,غير موظف,مفقود,0,74.8
